employee_id,month,hours_worked,overtime_hours,sales_generated,customers_served,projects_completed,absent_days,labor_cost,training_hours,performance_rating
978,2026-06-01,174.3,14.3,26076.13,68,3,2,8591.44,2,3.48
1014,2026-01-01,184.2,8.2,0,82,5,0,13163.72,6,3.44
855,2025-12-01,204.1,20.1,0,188,3,0,16721.05,2,
1433,2026-04-01,178.4,10.4,20632.46,64,2,1,7568.78,8,3.4
538,2026-02-01,148.8,4.8,0,0,4,2,9403.01,12,3.26
782,2026-07-01,187.2,3.2,21374.72,73,3,0,6749.54,4,3.9
577,2025-09-01,186.2,10.2,0,0,3,0,9050.41,4,2.92
938,2026-03-01,184.1,8.1,30018.28,89,2,0,10085.12,10,3.8
346,2026-05-01,177.1,9.1,0,0,4,0,11186.64,4,3.67
591,2026-03-01,181.9,5.9,0,0,4,0,8153.23,6,3.48
923,2026-03-01,182.8,6.8,22048.61,69,2,0,7707.69,10,3.01
935,2026-03-01,100.8,0,0,82,2,1,6476.17,10,4.24
1484,2025-11-01,170.9,10.9,33039.78,103,3,0,9501.31,6,3.77
920,2026-06-01,178.5,10.5,0,0,7,1,10901.93,6,3.97
16,2025-10-01,186.3,10.3,0,0,7,1,10297.77,0,4.36
1493,2025-12-01,202,18,0,0,5,0,9694.01,2,3.79
190,2026-02-01,91.2,0,0,0,3,1,6608.33,6,4.2
1132,2026-05-01,153.1,1.1,19637.42,68,2,2,9565.53,2,3.72
1102,2025-12-01,193.7,17.7,0,0,6,1,8312.26,2,4.39
1326,2026-05-01,173.3,13.3,25548.27,84,3,1,7958.44,2,3.44
315,2026-08-01,164.4,4.4,0,0,3,1,8295.27,0,3.91
206,2026-05-01,86.4,0,0,0,2,3,4148,8,4.09
1343,2026-07-01,176,0,0,0,3,1,11102,8,3.58
1003,2026-02-01,156.4,12.4,0,55,2,2,10469.59,12,
1251,2026-05-01,152.2,8.2,0,0,4,3,9744.86,4,3.22
1169,2026-03-01,184.1,8.1,24232.25,69,1,0,8790.48,4,3.15
1154,2026-04-01,184.6,8.6,22843.86,74,1,0,7897.01,0,3.01
1104,2025-10-01,185.9,9.9,0,86,4,1,10430.6,8,3.3
714,2025-11-01,163.8,11.8,38622.02,106,3,1,12504.6,4,4.67
666,2026-03-01,175.2,15.2,0,88,5,2,11872.1,10,3.32
178,2026-05-01,157.3,13.3,0,99,3,3,10543.23,0,3.84
1202,2026-08-01,171.7,11.7,0,93,5,1,10389.93,8,3.14
649,2026-03-01,185.2,9.2,0,0,3,0,9757.74,10,3.64
180,2026-05-01,163.9,11.9,0,89,2,2,9800.72,6,2.84
873,2026-02-01,152.2,8.2,0,0,4,2,10387.26,8,3.8
1186,2025-10-01,198,14,0,0,5,0,10440.93,4,2.77
1056,2026-03-01,173.6,13.6,0,0,3,2,10704.14,8,2.56
128,2026-06-01,182.4,6.4,0,0,7,0,7854.17,2,4.61
1033,2026-06-01,164.4,12.4,0,0,4,3,10278.21,2,2.9
618,2026-06-01,183.9,7.9,0,0,4,0,14467.8,0,3.09
428,2025-12-01,197.1,21.1,0,0,5,1,10279.72,2,3.82
272,2025-10-01,189.2,13.2,0,0,6,1,11599.89,0,3.91
400,2025-10-01,198.7,14.7,0,146,4,0,10520.27,2,
670,2026-02-01,159.9,7.9,16608.38,52,1,1,9410.52,6,3.14
781,2026-01-01,178.3,2.3,0,0,4,0,12764.27,6,2.94
456,2025-12-01,190.8,14.8,0,0,5,1,13831.35,6,3.72
692,2026-01-01,168.2,8.2,0,0,4,2,11062.32,6,4.52
973,2026-05-01,165.1,5.1,18518.99,74,2,1,8789.53,4,3.26
893,2025-12-01,189.7,21.7,0,183,3,2,11313.69,4,3.68
980,2026-08-01,162.4,2.4,20147.71,53,2,1,10346.69,6,3.09
163,2026-01-01,179.9,3.9,0,91,5,0,13893.94,4,3.34
908,2026-01-01,179,3,0,0,4,0,7416.16,6,3.18
1466,2026-08-01,170.3,2.3,0,0,4,0,7548.65,4,
1024,2025-12-01,193.8,17.8,0,0,6,1,12272.43,4,3.4
816,2026-04-01,105.6,0,16474.98,49,1,0,5683.17,0,3.45
1329,2026-07-01,177.1,9.1,0,0,5,2,8247.4,6,3.04
1253,2025-11-01,173.2,13.2,0,0,2,0,5014.04,8,2.9
766,2026-08-01,151.3,7.3,29207.77,86,2,3,10246.86,8,4.73
1412,2026-08-01,172.9,4.9,0,0,5,0,9326.04,0,3.51
233,2026-02-01,164.2,4.2,0,0,4,0,9071.66,12,2.95
221,2026-04-01,170.8,2.8,0,0,4,1,8309.58,0,2.94
654,2026-04-01,184.5,8.5,0,148,6,0,8167.98,4,4.37
295,2025-12-01,207.7,23.7,0,203,6,0,14885.95,0,3.44
910,2026-06-01,188.6,12.6,0,0,5,0,8321.12,4,3.08
490,2026-08-01,172.9,4.9,0,0,3,0,9474.41,8,3.78
549,2025-11-01,179.5,19.5,0,94,4,0,9009.11,0,2.61
618,2025-10-01,192.9,8.9,0,0,3,0,14584.99,2,2.92
2,2026-02-01,159.2,7.2,0,0,3,1,4752.06,10,3.49
1147,2025-10-01,170.8,18.8,0,116,5,4,15272.35,6,
732,2025-09-01,175.6,7.6,0,0,3,1,7558.08,0,3.43
1359,2026-02-01,144.7,0.7,17407.83,45,2,2,7200.69,10,3.67
975,2026-08-01,179,11,0,0,4,0,8662.61,8,3.13
875,2026-07-01,110.4,0,0,0,2,0,6974.33,4,3.48
255,2026-05-01,160.6,8.6,0,0,5,2,7165.69,8,4.12
304,2025-10-01,195.8,11.8,0,0,6,0,8952.67,8,4.07
150,2026-04-01,155.4,11.4,28136.36,85,3,4,9337.83,0,4.3
675,2026-08-01,181.3,13.3,0,144,7,0,15894.21,8,4.39
992,2026-07-01,91.2,0,13121.28,42,1,4,5134.17,6,
449,2025-12-01,205.8,21.8,0,167,3,0,15069.56,8,2.95
57,2025-11-01,158.3,14.3,0,0,4,2,10967.8,4,3.66
370,2026-04-01,188.4,12.4,28224.89,62,3,0,10683.49,8,3.38
1333,2026-02-01,160.8,0.8,20137.24,70,2,0,6776.93,4,3.92
1266,2025-11-01,178.6,18.6,0,154,4,0,10315.92,8,4.15
486,2026-04-01,184.1,8.1,0,0,4,0,10259.19,6,3.44
199,2025-09-01,185.8,9.8,0,112,4,0,14381.66,4,3.65
927,2026-07-01,182.9,6.9,0,0,5,1,8834.46,2,3.84
113,2026-02-01,145.5,1.5,14148.97,42,2,2,8898.02,8,2.84
1404,2025-10-01,190.9,6.9,29938.45,95,2,0,7038.25,8,3.8
1058,2026-07-01,182.2,6.2,23198.5,80,2,1,8938.5,0,3.9
1148,2026-05-01,186.7,18.7,23855.07,84,2,0,12284.38,2,3.35
1403,2026-04-01,182.5,6.5,18976.74,53,1,0,8236.46,2,2.84
523,2026-04-01,166,14,0,73,3,3,18830.15,2,2.33
1397,2026-08-01,163.5,11.5,0,101,4,2,9620.79,0,3.5
1099,2026-05-01,167.8,7.8,0,0,5,1,9062.19,,3.17
914,2026-05-01,164.8,12.8,0,0,4,2,10728.18,2,3.85
644,2026-08-01,176.6,8.6,0,98,3,0,8595.38,0,2.95
840,2026-02-01,161.2,1.2,15592.33,54,1,0,8053.44,12,3.75
265,2025-09-01,190.9,14.9,0,69,3,0,15517.69,8,2.19
336,2025-10-01,197.2,13.2,0,119,4,0,13890.74,6,3.33
969,2026-02-01,157.7,5.7,17702.59,54,2,1,10241.43,10,3.48
7,2026-06-01,189.2,13.2,0,0,4,0,10421.77,0,3.01
735,2026-02-01,162.5,2.5,25023.97,64,3,0,6574.73,4,4.44
510,2025-11-01,180.1,20.1,30781.97,85,3,0,7602.65,2,3.65
142,2026-06-01,177.3,1.3,30871.53,86,3,0,6065.81,6,3.76
617,2026-06-01,179.2,11.2,0,0,5,1,10337.95,8,3.55
452,2025-11-01,169.2,17.2,0,0,4,1,12345.69,2,4.07
974,2026-01-01,96,0,0,66,2,2,7004.83,0,4.74
247,2026-06-01,172.8,12.8,0,0,2,2,8672.89,8,2.91
599,2026-08-01,163.6,11.6,0,124,4,2,10560.76,8,4.44
773,2026-01-01,177.2,1.2,0,0,5,0,11094.02,2,3.93
1075,2025-11-01,91.2,0,7845.44,26,1,1,3914.17,8,2.26
968,2026-03-01,183.6,7.6,0,0,5,0,8841.62,8,4.02
211,2026-05-01,171.5,11.5,0,133,5,1,9483.35,6,4.41
578,2025-10-01,187.4,11.4,0,158,4,1,13595.25,4,3.96
48,2026-02-01,161.5,1.5,0,0,6,0,6488.14,10,4.25
424,2025-12-01,199.6,15.6,0,0,7,0,7650.47,6,3.94
1278,2026-01-01,178.1,2.1,0,0,3,0,8312.2,8,2.47
543,2026-08-01,174.9,6.9,0,0,3,0,6712.04,4,4.16
241,2026-07-01,191.7,7.7,0,0,5,0,11115.22,4,4.07
421,2026-05-01,183.9,15.9,0,155,6,0,8418.21,4,
363,2026-03-01,177.2,9.2,0,0,4,1,11118.78,12,4.39
517,2026-03-01,184.3,8.3,0,0,2,0,14198.67,12,2.26
240,2026-08-01,175.5,7.5,13561.79,40,1,0,7264.6,,2.04
995,2026-07-01,197.9,13.9,0,139,6,0,10159.52,4,3.84
903,2026-05-01,180.2,12.2,0,0,6,0,8587.38,2,3.87
613,2026-02-01,132.5,4.5,0,0,2,4,7774.06,10,3.37
1039,2026-05-01,165.6,13.6,0,0,4,2,10045.07,2,4.15
703,2025-10-01,100.8,0,9845.42,27,1,2,3812.5,8,2.42
1313,2026-06-01,154.7,10.7,0,0,3,4,8575.42,4,3.14
1034,2025-10-01,192.4,8.4,36744.17,112,3,0,6499.8,,4.57
1221,2025-11-01,175.7,15.7,0,123,3,0,17391.23,8,3.31
835,2026-02-01,171.8,11.8,0,0,4,0,12190.87,8,2.92
1366,2025-10-01,187.1,11.1,0,0,4,1,8768.46,4,3.16
938,2025-12-01,200.1,16.1,54239.55,150,2,0,10737.59,0,3.91
546,2026-07-01,181.2,5.2,23631.68,84,3,1,8244.35,2,4.02
592,2026-01-01,161.9,1.9,0,76,4,2,10090.22,4,4.05
1349,2026-04-01,178.8,10.8,0,126,4,1,10805.59,6,3.73
469,2026-06-01,186,10,25168.12,90,3,0,10394.73,4,3.6
1192,2026-01-01,184.1,8.1,0,66,4,0,10879.31,8,3.08
281,2026-08-01,159.1,7.1,0,0,2,2,9302.13,8,2.85
438,2026-05-01,168.7,8.7,0,94,4,1,9653.04,4,3.43
787,2026-04-01,185.3,9.3,25505.11,81,2,0,12511.79,2,3.62
633,2025-11-01,172.1,12.1,30519.98,93,3,0,9018.68,0,
297,2026-04-01,186.6,10.6,0,57,2,0,15294.78,0,1.9
824,2026-02-01,160.8,8.8,0,0,2,1,8971.54,4,3.03
1430,2026-01-01,169.7,1.7,0,77,5,1,9284.61,2,3.32
343,2026-08-01,164.5,4.5,0,113,3,1,13985.7,2,3.49
949,2026-04-01,180.7,4.7,0,0,5,0,5903.74,2,3.93
590,2026-04-01,176.6,8.6,0,0,3,1,6171.67,4,3.82
329,2026-03-01,171.1,11.1,22916.14,59,2,2,9538.62,6,3.29
895,2026-07-01,110.4,0,0,0,2,0,3517.67,8,3.77
1432,2026-07-01,192,8,0,102,3,0,13805.55,8,
1076,2025-12-01,197.7,13.7,25111.66,85,2,0,9961.87,6,2.72
69,2026-06-01,194.5,18.5,0,178,4,0,26820.26,0,4.43
1087,2026-04-01,164.8,12.8,0,81,4,3,14036.98,8,3.05
1383,2025-10-01,110.4,0,16117.13,53,1,0,4493.67,6,3.6
781,2025-09-01,181.2,5.2,0,0,4,0,13078.35,4,2.96
1388,2026-04-01,105.6,0,0,0,3,0,5713.67,6,3.35
899,2026-08-01,163.6,3.6,0,0,6,1,5357.02,8,
744,2026-01-01,181.5,5.5,0,0,4,0,5719.35,2,3.74
340,2025-09-01,182.7,6.7,0,0,2,0,6399.9,10,3.89
1279,2025-12-01,180.2,20.2,0,0,3,3,9578.99,2,2.96
1324,2026-06-01,185.2,17.2,0,105,3,1,13420.25,6,2.73
1434,2026-08-01,176.2,8.2,0,0,4,0,9603.31,0,3.21
97,2025-10-01,192.1,8.1,26693.4,94,3,0,9116.86,8,3.78
286,2025-10-01,186.2,10.2,0,0,5,1,7103.13,0,3.31
212,2025-10-01,191.1,7.1,37664.35,128,2,0,8514.36,0,4.74
1347,2026-05-01,169.8,9.8,0,0,3,1,14602.23,4,3.47
912,2025-11-01,178.8,18.8,0,0,5,0,8960.09,0,3.64
1081,2026-01-01,174.4,6.4,0,0,4,1,7521.55,8,3.81
61,2026-08-01,167.3,7.3,0,0,4,1,14646.1,0,3.74
1113,2026-03-01,184.9,8.9,0,0,6,0,8650.26,10,4.14
71,2025-10-01,182,14,0,0,4,2,14681.14,6,2.73
254,2025-09-01,100.8,0,0,0,2,1,4646.17,4,3.93
471,2025-10-01,187.8,11.8,23552.36,88,3,1,10241.22,0,3.49
990,2025-11-01,174,14,0,0,3,0,9939.4,8,2.93
1028,2026-08-01,176.9,8.9,0,101,3,0,15220.08,14,3.5
267,2026-05-01,180.7,12.7,25333.54,76,2,0,9286.75,6,3.36
1061,2025-12-01,110.4,0,0,0,3,0,4137.83,6,4.7
1214,2026-03-01,176.9,8.9,33638.51,88,3,1,8634.1,4,4.34
1223,2026-02-01,162.4,2.4,0,0,4,0,8613.59,12,3.5
407,2026-08-01,172.6,4.6,22450.36,72,2,0,8953.96,8,3.43
1267,2026-03-01,161.7,9.7,0,124,4,3,14777.93,4,3.93
1425,2026-08-01,170.5,2.5,0,0,4,0,8226.2,0,3.71
791,2026-08-01,171.2,3.2,0,0,3,0,6191.85,4,2.98
983,2025-11-01,178,18,0,141,3,0,17590.23,0,3.68
1131,2026-05-01,176.9,8.9,0,0,4,0,7095.4,6,4.51
283,2025-12-01,200.8,16.8,0,0,6,0,10887.84,0,3.4
1131,2025-12-01,195.8,19.8,0,0,5,1,7716.83,4,4.38
21,2026-03-01,185.9,9.9,33008.31,106,3,0,6070.72,10,4.65
1095,2026-04-01,176.3,8.3,28553.07,115,2,1,6875.95,2,4.88
985,2025-11-01,167.3,15.3,0,0,3,1,10142.75,8,3
1103,2026-04-01,170.6,10.6,22956.42,77,2,2,6350.23,,3.72
1428,2026-04-01,187.8,11.8,0,100,3,0,13322.55,2,2.84
634,2026-08-01,162.9,10.9,0,115,6,2,10202.23,0,4.02
975,2025-12-01,190.5,14.5,0,0,5,1,8902.18,4,3.04
1180,2026-08-01,180.3,12.3,0,159,6,0,13093.64,4,4.7
898,2026-04-01,188.3,12.3,0,146,3,0,10123.95,4,3.87
264,2026-01-01,176,0,0,0,4,0,7625,2,2.47
475,2026-01-01,164.7,4.7,0,0,6,2,7734.11,4,4.35
250,2025-12-01,204.2,20.2,44931.4,133,2,0,10653.94,8,3.88
1335,2026-02-01,147.6,3.6,0,0,3,2,10106,8,4.42
776,2026-04-01,91.2,0,0,0,2,1,6857.88,2,3.53
1112,2025-12-01,208,24,0,217,4,0,15912.55,6,3.72
1200,2026-01-01,176,0,0,0,4,0,10807.17,2,3.79
1444,2025-10-01,186.2,10.2,28796.48,77,3,1,11285.35,2,3.32
430,2026-04-01,181.4,5.4,0,0,4,0,9737.21,6,4.28
329,2025-09-01,181.4,5.4,21728.71,62,1,0,9109.35,6,3.1
607,2025-11-01,172.3,12.3,0,0,5,0,9179.05,0,4.18
356,2025-10-01,189.9,5.9,32180.73,84,2,0,9189.75,0,3.62
1349,2025-11-01,162.8,18.8,0,109,3,2,11489.73,4,3.45
886,2026-01-01,168.4,0.4,0,0,4,1,6463.96,8,3.24
609,2026-06-01,189.8,13.8,31668.67,90,2,0,7704.8,4,4.01
1182,2026-07-01,184.8,0.8,0,0,6,0,7995.14,8,4.08
1477,2026-04-01,187.4,11.4,0,0,3,0,10454.79,6,3.44
1225,2025-12-01,178.3,18.3,0,0,5,3,9209.39,6,3.43
711,2026-05-01,167.5,15.5,0,122,5,2,13813.38,4,3.67
660,2025-10-01,179.7,11.7,0,0,5,2,9259.13,2,4.35
585,2026-07-01,178,2,0,0,4,1,11387.23,6,3.69
520,2025-10-01,195.6,11.6,0,0,3,0,11131.31,16,4
536,2025-11-01,91.2,0,0,69,3,1,7533.5,8,3.62
515,2026-03-01,91.2,0,11483.22,32,1,3,5368,4,3.3
1157,2026-01-01,177.7,1.7,0,0,4,0,11440.7,4,2.91
869,2025-10-01,182.6,14.6,0,145,6,2,15997.31,8,4.01
754,2025-10-01,192.1,8.1,0,0,4,0,9029.83,0,3.15
852,2025-11-01,178.5,18.5,29908.05,82,2,0,12277.88,4,2.9
823,2025-09-01,182.1,6.1,0,0,6,0,9729.34,6,4.56
1500,2025-09-01,182.7,6.7,0,0,5,0,12982.66,2,3.39
475,2026-07-01,186.2,2.2,0,0,6,0,7573.32,4,4.04
429,2026-03-01,191.1,15.1,0,0,6,0,11242.28,12,3.82
1319,2026-01-01,105.6,0,0,0,2,0,4961.33,0,2.81
1019,2026-06-01,160.7,8.7,27075.34,89,3,3,8199.07,0,3.85
1197,2025-12-01,110.4,0,0,0,2,0,4239.5,6,4.26
802,2025-09-01,165.4,5.4,24063.83,84,2,2,6800.09,8,4
208,2026-08-01,176.1,8.1,0,0,4,0,6951.88,4,3.4
67,2026-06-01,163.6,11.6,0,0,3,3,14957.34,4,
731,2026-01-01,176,0,17100.04,50,2,0,8753.5,8,3.33
39,2026-06-01,188,12,0,0,4,0,8416.83,,3.15
995,2026-03-01,182.3,14.3,0,115,3,1,10190.91,12,3.62
842,2026-03-01,177.8,9.8,17858.12,63,2,1,8778.99,10,3.11
211,2025-09-01,166.9,6.9,0,129,6,2,9140.01,4,4.27
1385,2026-04-01,181.2,5.2,32230.14,89,3,0,13014.6,0,3.91
1300,2025-11-01,173.8,13.8,0,146,3,0,10948.33,8,3.53
615,2026-07-01,182.3,6.3,0,0,5,1,10227.78,2,3.74
223,2026-03-01,187.2,11.2,0,89,3,0,10103.76,4,3.05
1166,2026-04-01,170.1,10.1,0,123,5,2,12536.68,2,4.17
706,2025-10-01,192.5,8.5,0,0,3,0,14472.63,4,3.52
822,2026-04-01,189.7,13.7,0,144,4,0,17342.3,2,3.72
1042,2026-07-01,182.8,6.8,21274.48,62,3,1,12239.73,2,3.01
828,2025-12-01,205.9,21.9,34848.17,122,3,0,8840.31,0,3.54
485,2025-12-01,199.7,15.7,0,0,6,0,8973.34,4,3.34
42,2026-08-01,165,5,0,79,4,1,10500.5,8,2.6
865,2025-12-01,194,18,0,0,4,1,10704.54,4,3.09
938,2026-07-01,184.7,8.7,23192.96,75,2,1,10134.06,2,3.63
304,2025-12-01,198.9,14.9,0,0,6,0,9170.59,0,3.92
503,2026-08-01,173.3,5.3,23878.06,83,2,0,10973.22,8,3.87
1343,2026-03-01,185.3,9.3,0,0,6,0,11995.5,10,3.72
137,2025-11-01,165.2,13.2,0,0,2,1,10682.32,,2.19
921,2026-05-01,167.7,7.7,0,0,4,1,9900.68,4,2.87
117,2026-06-01,187.6,11.6,26598.69,64,2,0,10102.08,0,3.08
112,2026-03-01,179.9,11.9,0,0,3,1,9767.08,4,3.28
947,2025-09-01,180.3,4.3,0,0,5,0,6991.32,8,3.23
1120,2026-01-01,178.6,2.6,22827.39,66,2,0,10644.91,8,4.7
132,2026-07-01,191.1,7.1,23152.41,90,3,0,7586.31,2,4
58,2025-09-01,185.5,9.5,0,0,7,0,5611.27,4,5
